5.453000.6, 16.800000.6, -3.958000.6, 0.125000.6, 0.385000.6, 0.915000.6
-1.849000.6, 17.563000.6, -3.956000.6, -0.042000.6, 0.402000.6, 0.915000.6
-8.831000.6, 15.301000.6, -3.959000.6, -0.202000.6, 0.350000.6, 0.915000.6
-14.286000.6, 10.382000.6, -3.956000.6, -0.327000.6, 0.238000.6, 0.915000.6
-17.274000.6, 3.675000.6, -3.957000.6, -0.395000.6, 0.084000.6, 0.915000.6
-17.278000.6, -3.673000.6, -3.959000.6, -0.395000.6, -0.084000.6, 0.915000.6
-14.284000.6, -10.382000.6, -3.957000.6, -0.327000.6, -0.238000.6, 0.915000.6
-8.829000.6, -15.297000.6, -3.958000.6, -0.202000.6, -0.350000.6, 0.915000.6
-1.848000.6, -17.572000.6, -3.961000.6, -0.042000.6, -0.402000.6, 0.915000.6
5.456000.6, -16.796000.6, -3.958000.6, 0.125000.6, -0.385000.6, 0.915000.6
11.817000.6, -13.128000.6, -3.959000.6, 0.271000.6, -0.300000.6, 0.915000.6
16.129000.6, -7.185000.6, -3.956000.6, 0.369000.6, -0.164000.6, 0.915000.6
17.658000.6, 0.003000.6, -3.956000.6, 0.404000.6, 0.000000.6, 0.915000.6
18.571000.6, -0.007000.6, -4.369000.6, 0.420000.6, 0.000000.6, 0.907000.6
16.965000.6, 7.564000.6, -4.371000.6, 0.384000.6, 0.171000.6, 0.907000.6
12.431000.6, 13.806000.6, -4.372000.6, 0.281000.6, 0.312000.6, 0.907000.6
5.741000.6, 17.669000.6, -4.372000.6, 0.130000.6, 0.400000.6, 0.907000.6
-1.944000.6, 18.477000.6, -4.373000.6, -0.044000.6, 0.418000.6, 0.907000.6
-9.291000.6, 16.083000.6, -4.370000.6, -0.210000.6, 0.364000.6, 0.907000.6
-15.026000.6, 10.914000.6, -4.369000.6, -0.340000.6, 0.247000.6, 0.907000.6
-18.166000.6, 3.860000.6, -4.369000.6, -0.411000.6, 0.087000.6, 0.907000.6
-18.166000.6, -3.870000.6, -4.370000.6, -0.411000.6, -0.087000.6, 0.907000.6
-15.028000.6, -10.920000.6, -4.372000.6, -0.340000.6, -0.247000.6, 0.907000.6
-9.286000.6, -16.078000.6, -4.368000.6, -0.210000.6, -0.364000.6, 0.907000.6
-1.944000.6, -18.467000.6, -4.369000.6, -0.044000.6, -0.418000.6, 0.907000.6
5.740000.6, -17.661000.6, -4.369000.6, 0.130000.6, -0.400000.6, 0.907000.6
12.426000.6, -13.804000.6, -4.371000.6, 0.281000.6, -0.312000.6, 0.907000.6
16.971000.6, -7.557000.6, -4.373000.6, 0.384000.6, -0.171000.6, 0.907000.6
18.571000.6, 0.003000.6, -4.369000.6, 0.420000.6, 0.000000.6, 0.907000.6
19.482000.6, -0.007000.6, -4.801000.6, 0.436000.6, 0.000000.6, 0.900000.6
17.798000.6, 7.927000.6, -4.801000.6, 0.398000.6, 0.177000.6, 0.900000.6
13.034000.6, 14.488000.6, -4.804000.6, 0.291000.6, 0.324000.6, 0.900000.6
6.021000.6, 18.528000.6, -4.800000.6, 0.135000.6, 0.414000.6, 0.900000.6
-2.041000.6, 19.374000.6, -4.800000.6, -0.046000.6, 0.433000.6, 0.900000.6
-9.751000.6, 16.875000.6, -4.803000.6, -0.218000.6, 0.377000.6, 0.900000.6
-15.768000.6, 11.449000.6, -4.802000.6, -0.352000.6, 0.256000.6, 0.900000.6
-19.065000.6, 4.053000.6, -4.805000.6, -0.426000.6, 0.091000.6, 0.900000.6
-19.060000.6, -4.055000.6, -4.803000.6, -0.426000.6, -0.091000.6, 0.900000.6
-15.764000.6, -11.458000.6, -4.804000.6, -0.352000.6, -0.256000.6, 0.900000.6
-9.744000.6, -16.879000.6, -4.805000.6, -0.218000.6, -0.377000.6, 0.900000.6
-2.039000.6, -19.374000.6, -4.800000.6, -0.046000.6, -0.433000.6, 0.900000.6
6.022000.6, -18.529000.6, -4.802000.6, 0.135000.6, -0.414000.6, 0.900000.6
13.043000.6, -14.475000.6, -4.803000.6, 0.291000.6, -0.324000.6, 0.900000.6
17.799000.6, -7.926000.6, -4.802000.6, 0.398000.6, -0.177000.6, 0.900000.6
19.483000.6, 0.003000.6, -4.801000.6, 0.436000.6, 0.000000.6, 0.900000.6
20.398000.6, -0.006000.6, -5.253000.6, 0.450000.6, 0.000000.6, 0.893000.6
18.638000.6, 8.294000.6, -5.254000.6, 0.411000.6, 0.183000.6, 0.893000.6
13.650000.6, 15.156000.6, -5.252000.6, 0.301000.6, 0.335000.6, 0.893000.6
6.305000.6, 19.410000.6, -5.258000.6, 0.139000.6, 0.428000.6, 0.893000.6
